Country/territory,Count,Share
"United States of America (USA)",28497,20075.804945967
China,21154,16470.741285327
Germany,9484,4870.2755834602
"United Kingdom (UK)",8154,3781.1701040492
Japan,5209,3199.0732175023
France,5038,2207.7512271077
Canada,3534,1604.3673764359
"South Korea",2597,1587.6411043768
Switzerland,3376,1459.8219039629
Australia,3066,1293.2633498391
India,1875,1198.8616502238
Italy,2986,1180.0816886693
Spain,2859,1155.7951300389
Netherlands,2454,936.11961708714
Sweden,2025,700.10754888132
Israel,1374,688.8839947636
Singapore,1342,628.18471540558
Russia,1533,562.13103183219
Belgium,1205,437.80721879351
Denmark,1307,437.49805450229
Taiwan,995,418.55810642021
Austria,1224,387.51570264633
Brazil,941,322.52213844287
Poland,891,288.69938733629
Finland,748,218.83059099688
"Czech Republic",751,211.75171475218
Norway,773,197.70124532678
Portugal,565,159.87426032351
Chile,436,128.0275669856
"Saudi Arabia",445,127.19383556322
"New Zealand",388,117.25615231039
Iran,269,108.56631289004
Mexico,420,106.70818847619
Ireland,423,102.19750212757
Greece,399,101.77937909159
Argentina,325,96.444540973756
Hungary,400,95.383461989891
"South Africa",439,91.91527229659
Turkey,386,90.967985412569
Thailand,273,67.829157452035
Slovenia,207,45.17758701365
Estonia,187,38.473835899925
"United Arab Emirates",116,29.48916724702
Croatia,173,28.69320870875
Vietnam,104,27.958880554012
Pakistan,175,26.454145210395
Colombia,244,26.196032270796
Iceland,92,24.14821641302
Romania,210,22.051373674106
Slovakia,157,20.505164644034
Egypt,199,20.074078291695
Ukraine,209,19.996131406274
Luxembourg,63,16.303740253329
Indonesia,93,15.468934591694
Bulgaria,154,13.902559380584
Kenya,66,13.505936756695
Lithuania,87,13.080689437607
Qatar,84,12.810821289882
Cyprus,110,12.043962871007
Serbia,136,10.696312354139
Malaysia,126,10.211295495624
Ecuador,85,9.3710524562877
Armenia,109,8.8173213765782
Panama,53,8.2171099812422
Morocco,84,8.2079751896282
Philippines,72,7.9321151648556
Georgia,134,7.0844313251527
Oman,19,6.618966032696
Algeria,18,6.5634968318736
Uganda,37,6.3239261146276
Belarus,112,5.8947460095854
Peru,66,5.8607192966517
Uruguay,22,5.7165310218882
Bangladesh,30,5.2685119829988
Uzbekistan,31,5.099353673752
Kazakhstan,28,4.8159981584018
Tunisia,19,4.2549645719429
Lebanon,27,4.2538722057655
Latvia,60,4.1706184829467
Nigeria,28,3.4244182889343
Ghana,26,3.2206969131898
Ethiopia,21,3.20854524002
Congo,23,3.0807789629564
Madagascar,19,3.0003575705797
Malawi,14,2.9588338446235
Rwanda,14,2.815600787768
"Costa Rica",27,2.4612226833132
Cuba,38,2.3551674438031
Venezuela,21,2.3235420244335
"French Polynesia",13,2.3001470633686
"Sri Lanka",57,2.2988990689784
Tanzania,21,2.2453970470409
Cambodia,13,2.1936843597088
"North Korea",2,2
Iraq,20,1.9955373058314
Jordan,13,1.9085303313244
Kuwait,41,1.7565495016396
Mali,10,1.7529757438526
Cameroon,14,1.752933175835
Myanmar,11,1.7403911564626
"Burkina Faso",10,1.575501371652
Senegal,10,1.5552445676437
Zambia,12,1.5195671831847
"Ivory Coast",12,1.4168695951857
Namibia,11,1.3953540352298
Nepal,15,1.3443722592099
"Papua New Guinea",7,1.3081140350877
Guatemala,6,1.1210975609756
Mongolia,28,1.1196663307184
Macedonia,4,1.0883777239709
Gabon,12,1.0733954555957
Malta,12,1.0443521557387
Nicaragua,3,1.0004578754579
International,10,0.95158506419696
Brunei,2,0.93333333333333
Monaco,9,0.87826188184263
Mozambique,11,0.85287309145796
Greenland,10,0.84970743320497
Kyrgyzstan,7,0.82149400740224
Palau,3,0.78571428571429
Gambia,6,0.7592116079285
Laos,6,0.73491828915474
Azerbaijan,77,0.72870823149298
Moldova,11,0.72819892835978
Bolivia,8,0.68014945353337
Botswana,8,0.67156420531956
Fiji,7,0.65392514069919
Haiti,4,0.64015151515152
"Sierra Leone",5,0.63527129402129
"Palestinian territories",38,0.62943420336532
Bahamas,4,0.62727272727273
Guinea,5,0.62530615015133
Mauritania,1,0.54761904761905
Sudan,6,0.42397186147186
Maldives,3,0.37445887445887
"Dominican Republic",18,0.36660956009404
Afghanistan,4,0.34130094043887
"Trinidad and Tobago",4,0.33842592592593
Niger,3,0.3219696969697
"Central African Republic",5,0.32172619047619
Togo,1,0.3
Zimbabwe,3,0.27139332554214
Grenada,2,0.24814814814815
Tajikistan,4,0.23461195667078
Samoa,6,0.23422700580986
Burundi,4,0.22994281045752
Benin,7,0.22391331283194
Paraguay,11,0.18282821765913
"Bosnia and Herzegovina",5,0.15544994245586
Comoros,1,0.15384615384615
"Vatican City State (Holy See)",4,0.13209033613445
Liechtenstein,1,0.125
Mauritius,4,0.11861059308968
"Cape Verde",2,0.11219512195122
"Faroe Islands",2,0.1
Guyana,1,0.071428571428571
Syria,1,0.071428571428571
Liberia,2,0.068788171006107
Andorra,1,0.0625
Jamaica,2,0.06219512195122
Guinea-Bissau,1,0.060606060606061
Bahrain,2,0.052614379084967
"El Salvador",1,0.047619047619048
"East Timor",1,0.045977011494253
Montenegro,42,0.042051711100092
"Equatorial Guinea",2,0.037953327026175
Seychelles,2,0.03719512195122
Chad,1,0.03125
Reunion,1,0.023809523809524
Libya,1,0.018518518518519
"Netherlands Antilles",1,0.018181818181818
Lesotho,1,0.01158940397351
Barbados,2,0.010497835497835
Swaziland,1,0.0033112582781457
Yemen,1,0.0019607843137255
Honduras,3,0.0014915531459247
